@relation R_data_frame

@attribute desc string
@attribute class {0,1}

@data
'plant seed to grow gun gunworld is a love letter to bit action game it s an homag to everyth great about classic game design and action hero of the s an emphasi on high challeng and non linear progress mean gunworld is not for the faint of heart player will be challeng to complet a seri of level in ani order they choos unlock new weaponri as they do with each',0
'split second is an intens action race game set within a realiti televis show competitor will vie to be the first to the finish line in a made for tv citi set rig to blow with the ultim goal of becom the season champion player in split second don t just collid with other vehicl to knock them from the track but can also trigger devast event that drastic alter the',1
'as of juli rd astebre is now avail for human fight a lose galact war their onli hope a young pilot and a girl forev chang you are roy becket a young pilot with dream of becom as skill as his adopt father when a galact war with an ancient mechan alien race reach it boil point roy is forc to spring into action and take control of an',0
'venic was at the peak of it power dure the renaiss and was view as a citi of decad beauti and intrigu renown as the linchpin of civil and the cultur centr of europ venic was the most import trade post between western europ and the eastern stretch of the mediterranean sea it was also the stage for polit corrupt and clandestin deal this is where',0
'in construct simul you take the control of realist construct machin made by liebherr still and man with high qualiti d graphic excav the foundat of a hous with realist machin pour concret into the wall panel of a factori with an enorm concret pump or test the steadi of your hand by place gigant roof truss with a mobil crane thank to the',1
'east tower is a romanc mysteri visual novel with romanc guy which has a lot of comedi scene we suggest you to play base on this order akio takashi kuon kurenai in east tower akio you ll be partner with the serious type guy akio stori sakuya morita name is changeabl was given a chanc to tri the latest virtual game attract east tower within the game player can',1
'stuck in the underworld without the slightest clue whi a young fiend has a bit of a mysteri to solv in this action adventur platform with a world to explor a past to uncov and quit the task to complet player must embark on a quest fill with monster town dungeon boss and various platform challeng featur sever room with various platform challeng and',1
'zotrix is an arcad space shooter inspir by earli shooter game on arcad machin from s and earli s design for all generat it contain mission with nice and color enemi while focus on the arcad element of the gameplay you dive into deep space escort a cargo ship from your fleet quick you realiz you re within the boundari of enemi territori chain of enemi',1
'chicken invad put you at the forefront of a battl against invad intergalact chicken bent on reveng against the human race for our oppress of earth chicken in this episod the chicken have hatch a devious plan to block out sunlight and freez earth to death it s up to you to travel around the galaxi in order to piec togeth an ancient artifact and quit liter save',0
' pleas note a remast and improv edit of this game is now avail in zombi armi trilog experi a terrifi intens co op campaign for up to four player in this gut wrench sequel to steam best seller sniper elit nazi zombi armi with world war europ overrun by legion of the undead you must find mankind s salvat deep in the twist bowel of berlin by',0
'in this first person action adventur game you play from behind the eye of leet nym who at the request of a cat call itself mr snuggl embark on a quest to save an obscen magic world name fred the game featur a d world popul by a varieti of mythic creatur chupacabra vampir zombi hippi et cetera slapsticki sword combat comic book style interact',1
'tompi jone is a fun old style platform game in d where you will help tompi across six world the aztec pyramid the enchant forest the kingdom of arkan the mysteri jungl the dark cemeteri and the fortress of edom tompi can walk jump roll on the ground he can plan with the propel he has in his hat throw mani type of projectil weapon defend himself with a shield fight',1
'the trilog continu as the princ of dark rise again septemb the vatican appoint father arno moriani the devil s advoc to investig a potenti candid for sainthood in transylvania but in the shadow of the disturb ruin that were onc vlad the impal s castl his investig take an unexpect turn there is obvious no such thing as vampir at least',0
'you are nux sole survivor of the nexon warrior tribe the evil silthax has invad your home world of nexolus devour your fellow nexon and stolen the sacr power crystal from your villag legend state that these crystal contain the power of life itself and have protect your peopl for an etern they may even have the power to revers the damag that the silthax has done with your',0
'battl of empir is a stori driven rts that re live some of the bloodiest battl of the great war the mission includ some of the most fearsom weaponari employ of the period sabotag stealth trench warfar gas attack artilleri and mobil infantri boe has it all the first campaign of the seri battl of empir franc is devot to the battl between the french',1
'a young mother s attend a train exhibit with her children when someth strang happen the legendari runaway express start move while her children are still on board frighten she jump on the train and find it full of unusu passeng the ghost of peopl who die on the runaway express over the year it ran between pari and istanbul each ghost is a victim his or her',0
'bloop is back and it s bigger and better than ever your favourit chemistri potion puzzler is back in bloop reload and readi to test the brain cell like never befor make sure you save as much of the potion as possibl how you do it is up to you featur level build path and guid your potion to safeti use environment physic to your advantag there is no one correct solut ',1
'steamworld dig is a platform mine adventur with strong metroidvanian influenc take the role of rusti a lone mine steambot as he arriv at an old mine town in great need dig your way through the old earth gain rich while uncov the ancient threat that lurk below after make a huge impact on the nintendo ds eshop we ve decid to bring steamworld dig to pc mac linux ',1
'accompani hercul on a quest to rescu his wife kidnap by the evil hade in labour of hercul you ll meet hero from ancient greec as you vanquish beast repair road and construct wonder in this stun time manag game no magic creatur were harm in the make of the game they re all actor stun hd graphic fli hors includ challeng unlock',1
'sharpen your axe string your bow brew your potion ancaria need hero like you grab your friend to join the resist the onc peac land of ancaria is in grave danger the evil ashen empir has enslav it popul and is use the orc like grimmoc to wipe out the seraphim who swore to protect it in order to defeat the empir you will have to prove yourself as a warrior by',0
'origin made for drl mysteri space task you with delv deep into the zz omega sector to recov an import piec of inform and to return with that inform in one piec to get there you ll have to stop at planet along the way to find much need fuel arm yourself with procedur generat weapon armor and shield to defeat the enemi that stand in your',0
'creat your own origin game import custom asset set up complet rpg dungeon manipul the physic creat hing joint and of cours flip the tabl when you are lose the game all with an easi to use system integr with steam workshop you can do anyth you want in tabletop simul the possibl are endless tabletop simul has it all the base game includ ',1
'creat your own legend anoth sunris anoth day of toil food must be grown industri built scienc and magic advanc and wealth collect urgenc drive these simpl effort howev for your planet hold a histori of unexplain apocalyps and the winter you just surviv was the worst on record a fact that has also been true for the previous five as you discov the lost secret',1
'the second entri in the critic acclaim blazblu franchis blazblu continuum shift extend add a number of game play mode stori scenario new move and an all new playabl charact to further enhanc the blazblu experi and solidifi it status as one of the all time great d fighter stori sever year after the end of the second war multipl branch of the librarium reput',1
'ever wonder what would happen if you cross scrabbl with an rpg now you don t have to becaus letter quest is here help grimm and rose a coupl of ador grim reaper defeat monster ghost evil bunni and more use the power of word gameplay letter quest is a turn base rpg where player attack monster by spell word but be care sinc the monster know how to fight back',1
'you wake from cryostasi to find your ship lie crippl on an unchart planet shard of platinum iridium alloy punctur the shimmer alien sand the wind pass quiet over dead hydrocollid it isn t known how long the ruin vessel has sat here or even what caus the crash but one thing is clear time is rapid run out strand is a minimalist adventur game that forego',0
'karat master knock down blow is a fight game that mix element of rpg simul and arcad in an explos combin to reliev the beat em up genr characterist set in the s karat master will immers you in the life of a full contact karat fighter friend enemi work train session and so mani fight you will face challeng at the limit of human endur ',1
'yes it s the game liter some of you ask for and so in the spirit of well alright then if you insist we present the third game in the carmageddon seri in the knowledg that some of you carma fan out there would like to have a complet carmageddon collect in your steam librari noth wrong with that anyway here s what the blurb on the back of the dvd case had to say',0
'the evil draak has join forc with death and is destroy everyth in his path explor huge keep to find the legendari crystal to put an end to his vile act it is high unlik that you ll be abl to surviv in the hostil region of this desol land be warn the fight will be fierc but the adventur will be epic join the best warrior now and pool your skill to ensur',0
'soccer meet drive onc again in the long await physic base sequel to the belov arena classic superson acrobat rocket power battl car a futurist sport action game rocket leagu equip player with booster rig vehicl that can be crash into ball for incred goal or epic save across multipl high detail arena use an advanc physic system to simul',1
'fritz chess the ultim chess softwar play against fritz or play onlin at playchess com fritz chess is the most comprehens chess program in the world whether you are new to the game or a grandmast fritz is suitabl for all skill level the top rank fritz chess engin adjust it play strength automat offer coach at all level explan of chess posit ',1
'montagu s mount is disturb psycholog thriller set in the bleak of an abandon irish island featur explor and challeng puzzl solv this game is part one of a two part stori some question are left unansw and open to interpret to thank our fan for our success greenlight campaign we have ad new voiceov clue and storylin and also made the oculus',1
'run rush hast burst speed has never been push this far jump charg dodg slide you just slip and got crush you can t handl t e c yet tri again until speed hold no secret for you in t e c tesla energi collector you are guid a cut edg technolog robot to collect virtual space energi leftov for human with great graphic and a uniqu heart pump',0
'the old god has left the world and the pretend are awaken and come out from hide you start the game by design one of the pretend god that will compet for true ascens to godhood the type of god can rang from a magic power arch mage to an ancient kraken or a mystic monolith that peopl pray to dominion is a turn base strategi game take place in a fantasi world',1
' level of tomato save fun climb aboard to help spi fox save the world s ketchup suppli from the evil king konglomer maneuv spi fox s m e s s through water space and air help spi fox navig his m e s s multipl environ spi ship to collect tomato s and destroy king konglomer s robot challeng arcad style game for kid age to and children of all age ',1
'our hero seamus can t fli but he never touch the ground instead he hang by a rope and har as he maneuv his way through over challeng puzzl in cubic you pass across five world in each world he ll need to acquir new weapon and learn new strategi in order to solv the increas difficult puzzl that block his path part action adventur part puzzl strategi you',1
'it s and a militari coup has rock anchuria a small countri in latin america as a result you angela burn us citizen are trap in the metropolitan capit of san bav n your paradis has turn into a warzon to make end meet you take up a job as a housekeep everi week an hour befor sunset you clean the swanki bachelor pad of the wealthi gabriel ortega you are given a',0
'blockstorm is a fps game set in a world made of destruct block the voxel natur of charact and map and the in game editor allow you to fulli custom your game and quick share your experi with other player you are free to creat your own map and charact from scratch or to custom exist one you can edit weapon too all map and charact includ in the game are',1
' rbitali is a satellit launch simul with a retro puzzl style launch your satellit into orbit and go head to head with the domin forc that form the entir univers graviti these launch won t be a spacewalk in the park there s all manner of star planet comet pulsar and more to navig not to mention rival probe that will compet against you and even chase your',1
'a hack and slash action adventur set in a fantasi pixel art environ play solo or co op in this adventur from bottom to top of castl hammerwatch kill hord of enemi with vari look and featur through four uniqu environ with trap hidden secret and puzzl key featur differ class with uniqu featur and skill charact develop through unlock and upgrad',1
'a thousand year had pass sinc the great battl between the lord of chao and the forc of the order littl by littl life return back to normal the stori begin when a young neophyt journey north to learn from an eccentr wizard one of the most ancient and power guild s member the apprentic doesn t know yet that his teacher to be is one of the keeper and that his destini',0
'the steepest slope thrill stunt and danger action provid a most excel ski experi at an altitud of metr far away from civil in a battl between you and natur who ride the craziest track where doe the next jump lead to speed trick or stay upright onli those who are will to push their own boundari will experi the ultim adrenalin rush ',0
'into the gloom is a first person puzzl solv horror game base on retro style graphic it featur onli the black white and red color explor suspens level to find the item and solv the puzzl you will encount terrifi event along your path and must escap from the shadow this is an atmospher horror game creepi is not onli about monster but the environ rich',1
' p trackmania stadium is the return of the popular stadium environ enjoy by million of player with trackmania nation forev now part of the maniaplanet environ stadium allow for improv servic around the game better graphic and a power track editor p p trackmania stadium is a whacki crazi and fast pace take on the racer genr stadium s pure gameplay ensur it is',1
'your music is under attack you must liber it a mysteri entiti is absorb and corrupt your music befor your veri eye you must battl through your own song collect discov item custom your ship and fight boss enemi to liber the symphoni of soul and reclaim your music symphoni is one of the most music driven game ever made in this vertic shooter re experi',1
'upris the silent shadow combin third person action play with real time strategi it is a uniqu combin of the two mode of play and has an in depth and interest stori line which has not yet been use in wwii comput game the greatest civilian upris against nazi occupi forc the warsaw upris it is a stori of the silent shadow forerunn of modern day special',1
'thank to young hors slick ent inc and team meat for allow us to do these amaz crossov exclus for our steam launch what is bardbarian bardbarian is a game a game we ve been love work on for far too long and are readi to unleash on steam with hope some love from the greenlight commun what genr is the game it is a mixtur of tower defens rpg rts with some',1
'electron super joy groov citi play it here level editor ghost play against your steam friend new achiev new music new world secret area h electron super joy is a brutal hard platform set in a world of puls pound electron music run jump smash fli your way through weird differ level with low graviti world rotat giant',1
'get readi for some serious stylish action from renown design suda in this exclus version for pc player will be slice dice and shoot as the suav execution mondo zappa prepar for the thrill of love and kill in killer is dead exclus featur for nightmar edit new difficulti mode call nightmar mode in this mode enemi can onli be defeat use the follow',0
'be your own teammat in this uniqu singl player co op shooter you have live destroy as mani enemi as possibl with each new life you ll be join by ghost of your previous live the let s replay mode let you play with other peopl s ghost that have been upload to the steam workshop upgrad weapon episod with arena each highscor board custom made soundtrack singl',1
'schr dinger s cat is a fun frantic wacki and colour puzzl laden platform game set in a uniqu and quirki quantum physic world there s chao at the particl zoo what use to be a cheeri theme park environ is now overrun with hungri lepton sticki finger gluon and massiv stubborn boson the zoo is put on lockdown and the emerg servic are call in to sort everyth out ',1
'boom turbin nois kerosen smell in the air and constant chang and new challeng the daili life of a larg airport is perfect present and is a particular challeng in this profession and econom airport simul whether refuel super jumbo or coordin air traffic control and technic staff or even organ perfect cater the manag of this airport will',1
'in spacebas df you ll build a home among the star for a motley popul of human and alien as they go about their daili live mine asteroid discov derelict and deal with the tribul of galact resettl in earth s distant futur meteor impact explos decompress unbear loneli key featur base construct build your base use avail matter and expand',0
'pixel star embodi arcad philosophi brutal challeng fun and reward with a focus on progress intens fast pace action player freedom and solid gameplay pixel star reimagin the shoot em up genr from black hole to space centiped nebula storm to stray satellit there is alway someth new to discov featur load of power up and custom option uniqu ',1
'welcom to the roman circus if you have come here it is becaus you wish to manag your own chariot race team train your driver and give them the finest equip and hors if you do this well your chariot will provid you with both wealth and fame but bewar chariot race are danger accid may occur and rival team might tri to harm your chariot dure the race make sure',1
'travel across europ as king of the road a trucker who deliv import cargo across impress distanc with dozen of citi to explor from the uk belgium germani itali the netherland poland and mani more your endur skill and speed will all be push to their limit if you ve got what it take to be part of an elit truck forc get behind the wheel and prove it key',1
'dive into an excit action pack adventur and reliv the incred scene from the hollywood blockbust kick ass a omin threat is hang over new york citi and onli kick ass can stop it fight countless hord of enemi put on your mask hone your weapon and get readi to kick ass featur brutal attack and devast combo reliv the film s best scene experi an',1
'koya rift is an action pack platform shooter that is built around circular adapt gameplay that emphas replay valu by challeng the player with procedur content tune to their skill level in koya rift the player must enter a hostil planet and destroy an alien race so the planet can be colon each game the player is drop off at the surfac and must ventur into',1
'in super panda adventur you play as the brave panda knight fu who is about to finish his train to becom the new guardian of the princess at the same day of the big celebr parti some uninvit robot show up to conquer the planet and take the princess away in their space ship tell me more about the game the game play like a modern platform metroidvania combin with a new',1
'note these game are same room multiplay parti game for player your phone or tablet are your control the team behind you don t know jack present five guffaw induc parti game in one pack game includ the comedi trivia sensat you don t know jack player with hundr of all new question the hilari bluf game fibbag xl player with over ',1
'pandora first contact is a scienc fiction x turn base strategi game on a planetari scale in the futur faction have risen up from opportun and ideolog independ of govern privat corpor and religi movement have start war over greed ideolog and power mani have die and mani land lay in ruin planet earth has been exhaust and coloni attempt on other',1
'disco dodgebal is a physic base sport fps where you race around a danc club and nail each other with bounci projectil dodg deflect and catch enemi fire as you perform ridicul aerial stunt shot combat is fun fast and satisfi and there s a huge number of differ game mode to test your throw and movement skill includ these featur differ multiplay mode solo',1
'you play adam jensen an ex swat specialist who s been handpick to overse the defens need of one of america s most experiment biotechnolog firm your job is to safeguard compani secret but when a black op team break in and kill the veri scientist you were hire to protect everyth you thought you knew about your job chang key featur a divid near futur discov a time',0
'help charli get out of his own nightmar clash of puppet is a d hack n slash platform featur classic b movi style set and charact adventur through world of frantic fight and puzzl to solv use ton of devast weapon and trap against hord of puppet featur xbox style control high reccomend lot of cute charact to shoot slash and blow',1
'welcom to paperland dive into the world of paper monster recut and watch a live world made out of paper cardboard and even a few cotton ball unfold right befor your eye paper monster recut mix classic d platform gameplay with gorgeous d graphic and bring it to life in a brand new titl for pc featur xbox style control high reccomend there s a lot of button',1
'a desper savag surviv experi full of stun visual dynam creatur and a haunt soundtrack follow strang beast through lone forest hazard mountain dark cave and glow swamp watch out for danger creatur that react to your movement and decis and clever conceal trap that will test your abil to surviv over six year in the make feist is a',1
'cafe the drown mermaid is a mysteri horror visual novel develop by rosevert which is fulli voic in japanes with english text onli the demo and delux version contain japanes voic the full version is unvoic stori a girl s spirit with no recollect of her past find herself insid cafe a mysteri cafe in the middl of nowher serv with onli a glass of water by the',1
'rememb when game were tough return to the golden age of arcad with an all new hardcor action experi that pull no punch volgarr the vike possess all the hallmark of the true classic simpl control high challeng and meticul design combin with hand made pixel anim an epic soundtrack and bucket of blood flex your game muscl and step into the arena with',0
'step right up discov the circus with putt putt b j sweeney need you and putt putt to help his five main act get readi for the show they will encount challeng and have fun at the same time junior adventur challeng and inspir kid to observ detail and solv problem in creativ and flexibl way kid play with faith lovabl friend as they discov and explor captiv',0
'a pixel stori is a devious old school d puzzl platform that chart the evolut of video game from the veri begin you embark on an epic quest to the core of the system aid by the mystic power unlock by your magic teleport hat as you progress through the four graphic generat your world becom increas detail and complic and your journey through video',1
'f race star is a brand new world of formula one fun as you ve never seen it befor offici licens to featur all of your favorit formula one star and team get readi to sprint for the checker flag on famous circuit transform to featur jump loop the loop and shortcut and use a cool rang of awesom power up to overtak your rival travel the world and enter a wide rang of',0
'the idea of creat a box of jewel each fill with life doesn t it give you a littl bit of a thrill this starri midnight we make is a celesti growth simul game wherein the protagonist hamomoru tachibana creat celesti object use the mysteri star see basin hamomoru tachibana our protagonist is an over serious easili fluster clergywoman while on vacat in',1
'call of duti advanc warfar develop by sledgehamm game co develop of call of duti modern warfar har the first three year all next gen develop cycl in franchis histori call of duti advanc warfar envis a power futur where both technolog and tactic have evolv to usher in a new era of combat for the franchis deliv a stun perform ',0
'dragon witch troll no one can stop anna with her telekinesi unorthodox use of tortur instrument a knack for improvis and the help of a shadi fox she just make her way she commun with the dead shut off the local tavern beer suppli and get old ladi behind bar the world of author dane kram debut on the game develop stage isn t as cudd as it may seem anna',0
'get readi to take a trip back to the s the s help young queen victoria fight her way across mar and attempt to escap home in this exceed retro arcad adventur creat to look feel and sound like an bit style videogam from the s rock bosher dx director s cut mix top down and side on way direct shoot action see amaz sight as you journey across mar ',1
'long time ago in a realm of orion a power but greedi wizard collect knowledg from all around the world and thus came to write the three book book of knowledg law and magic the book gave him ultim power but he use them not to prosper but for chao one day the mighti enchantress salina gather all of her strength and courag and stole the book from the wizard under the',0
'simul of aerial combat and gallantri in world war fli north along the road from lill to bust a german recon balloon i wave to the foot boy in their muddi trench poor devil oh how they envi me off to the left can it be the scoundrel in the red fokker my dear chum bate signal that his gun was jam but that greedi hun down him nonetheless the fokker is fli east ',0
'the final love stori on a die planet in the near futur an omin red star sudden appear in the sky it presenc is about to bring about the extinct of all life on earth the unifi govern propos an evacu project to take all of mankind into space but in order to make the seem imposs project a realiti felix are brought into the world engin to be high',0
'in space we brawl is a frantic couch twin stick shooter in which you challeng friend in fast pace space battl for up to player choos a spaceship and a weapon there are more than avail combin will you humili your friend with a fast ship or will you choos shield and armor instead prove your skill with laser cannon and plasma sword flame launcher guid',1
'it has been year sinc brave mina lockheart defeat lord strix but dark shadow are rise onc again spirit are restless for he has awaken evil lord strix is breed a new armi to enslav all creatur from the dragon mountain it is onc again up to mina and her best friend spirit malik to travel to distant part of the world and find clue how to open the passag to a hidden wasteland',0
'konung iii is a rpg base on the scandinavian and slavic mytholog the third game in the konung seri konung legend of the north and konung blood of titan the new game bring the player back to the legendari woodland the uniqu and spacious fantasi land that combin part of known histori with classic myth of the slav the scandinavian and the byzantin as well as the legend of',1
'find out how deep the rabbit hole goe rabbit hole d steam edit is a minimalist retro puzzl game the game featur d word puzzl base on chapter of alic in wonderland by lewi carrol player must navig through keyword generat from the book s initi chapter featur support steamplay play it on window mac and linux contain audio clip of alic s adventur in',1
'live the life of a monster from birth to elderhood and beyond make decis that affect the world of monster and human you live in the villag of omen and your favorit snack is the finger of small children as a monster you pop up in the most interest place what do you do when three angri bear discov a young child in their cabin or when you spi a wolf hunt down that woman',0
'becom a glorkian warrior visit awesom asteroid blast strang invad glorkian warrior the trial of glork is a collabor between eisner award win cartoonist jame kochalka and indi game studio pixeljam maker of dino run and potatoman seek the troof it s a goofi mashup of galaga style shoot em up simpl platform action and saturday morn cartoon help glorkian warrior',1
'the world s greatest fight game evolv to a whole new level with ultra street fighter iv continu the tradit of excel the seri is known for five new charact and six new stage have been ad for even more fight mayhem with rebalanc gameplay and origin mode top off this ultim offer as an addit bonus enjoy all previous releas dlc costum from',1
'take a father s journey to hell in order to save the soul of his wife and child the ultim old school trip to hell the chronicl of thurstan is the first in a seri of game base around the journey of a sword possess by a father s power grief and hatr this first game is the tale of the sword creation reward game play featur a blend of action platform and rpg element',0
'in resid evil special agent leon s kennedi is sent on a mission to rescu the u s presid s daughter who has been kidnap find his way to a rural villag in europ he face new threat that are a departur from the tradit lumber zombi enemi of the earlier instal in the seri leon battl horrif new creatur infest by a new threat call las plaga and face',0
'the video game where you are the hero lone wolf is back as a video game with a brand new stori a deep combat system stun graphic and much more make meaning choic and carv your own path through this epic non linear adventur test your strength in dynam turn base battl prove your skill with the lock pick minigam and accept the challeng of wit pose by the mysteri',1
